cluster_a,cluster_b,distance,n_members,metric
18.0,19.0,0.0,2.0,correlation
10.0,16.0,0.0031793685931884585,2.0,correlation
9.0,21.0,0.007784263554550974,3.0,correlation
8.0,14.0,0.008440419842756675,2.0,correlation
6.0,12.0,0.14953379978187942,2.0,correlation
15.0,24.0,0.153531899343337,3.0,correlation
4.0,20.0,0.1609070277625977,2.0,correlation
5.0,11.0,0.18268450458194274,2.0,correlation
1.0,2.0,0.19089233470974232,2.0,correlation
3.0,28.0,0.31345499914778235,3.0,correlation
22.0,23.0,0.35471426066954326,5.0,correlation
0.0,30.0,0.47918900403987247,4.0,correlation
17.0,25.0,0.5434886071208211,3.0,correlation
26.0,33.0,0.5936015748543947,6.0,correlation
27.0,29.0,0.6769607575821237,4.0,correlation
7.0,13.0,0.7132462812046705,2.0,correlation
32.0,35.0,0.7939691428716419,8.0,correlation
31.0,36.0,0.9185128728614899,7.0,correlation
34.0,38.0,1.1624951469678269,13.0,correlation
37.0,39.0,1.2844787245505471,21.0,correlation
